[GIN] 2025/07/20 - 11:32:16 | 200 |     245.984µs |       127.0.0.1 | GET      "/api/v1/interfaces"
[GIN] 2025/07/20 - 11:32:18 | 200 |      54.899µs |       127.0.0.1 | GET      "/api/v1/agents"
[GIN] 2025/07/20 - 11:32:18 | 200 |     244.153µs |       127.0.0.1 | GET      "/api/v1/interfaces"
[GIN] 2025/07/20 - 11:32:20 | 200 |      46.334µs |       127.0.0.1 | GET      "/api/v1/agents"
[GIN] 2025/07/20 - 11:32:20 | 200 |     296.663µs |       127.0.0.1 | GET      "/api/v1/interfaces"
[GIN] 2025/07/20 - 11:32:22 | 200 |      59.206µs |       127.0.0.1 | GET      "/api/v1/agents"
[GIN] 2025/07/20 - 11:32:22 | 200 |      344.33µs |       127.0.0.1 | GET      "/api/v1/interfaces"
[GIN] 2025/07/20 - 11:32:24 | 200 |      66.345µs |       127.0.0.1 | GET      "/api/v1/agents"
[GIN] 2025/07/20 - 11:32:24 | 200 |     283.784µs |       127.0.0.1 | GET      "/api/v1/interfaces"
[GIN] 2025/07/20 - 11:32:26 | 200 |      47.178µs |       127.0.0.1 | GET      "/api/v1/agents"
[GIN] 2025/07/20 - 11:32:26 | 200 |      241.12µs |       127.0.0.1 | GET      "/api/v1/interfaces"
[GIN] 2025/07/20 - 11:32:28 | 200 |      57.529µs |       127.0.0.1 | GET      "/api/v1/agents"
[GIN] 2025/07/20 - 11:32:28 | 200 |     286.998µs |       127.0.0.1 | GET      "/api/v1/interfaces"
[GIN] 2025/07/20 - 11:32:30 | 200 |     163.375µs |       127.0.0.1 | GET      "/api/v1/agents"
[GIN] 2025/07/20 - 11:32:30 | 200 |     312.469µs |       127.0.0.1 | GET      "/api/v1/interfaces"
[GIN] 2025/07/20 - 11:32:32 | 200 |     144.856µs |       127.0.0.1 | GET      "/api/v1/agents"
[GIN] 2025/07/20 - 11:32:32 | 200 |      423.31µs |       127.0.0.1 | GET      "/api/v1/interfaces"
